Phi,P, Mass_Flow_Rate_C1-Inlet1_2, Reactant_N2_(mole_fraction), Temperature_(K),H2, H,O,O2,OH,H2O, CO,CO2,NO,NO2,N2
1,1,114,2,2461.17,0.0033800000,0.0012300000,0.0014700000,0.0152000000,0.0061000000,0.0847000000,0.0358000000,0.1480000000,0.0053600000,0.0000013400,0.6990000000
1,1,142,3,2379.973,0.0024500000,0.0007180000,0.0008220000,0.0111000000,0.0041700000,0.0796000000,0.0257000000,0.1430000000,0.0038500000,0.0000009000,0.7280000000
1,1,170,4,2299.471,0.0017500000,0.0004090000,0.0004490000,0.0080200000,0.0028100000,0.0748000000,0.0181000000,0.1380000000,0.0025100000,0.0000005500,0.7530000000
1,10,86,1,2663.339,0.0031200000,0.0008730000,0.0011700000,0.0143000000,0.0065200000,0.0945000000,0.0364000000,0.1660000000,0.0072700000,0.0000045800,0.6700000000
1,10,114,2,2558.839,0.0021800000,0.0004790000,0.0006080000,0.0100000000,0.0042600000,0.0879000000,0.0252000000,0.1600000000,0.0052700000,0.0000030600,0.7040000000
1,10,142,3,2457.131,0.0015100000,0.0002550000,0.0003060000,0.0068500000,0.0027300000,0.0819000000,0.0171000000,0.1530000000,0.0037200000,0.0000019800,0.7330000000
1,10,170,4,2358.491,0.0010300000,0.0001320000,0.0001480000,0.0046000000,0.0017100000,0.0766000000,0.0113000000,0.1460000000,0.0025400000,0.0000012400,0.7560000000
1,50,86,1,2736.577,0.0022700000,0.0004390000,0.0006080000,0.0105000000,0.0049600000,0.0969000000,0.0280000000,0.1760000000,0.0069600000,0.0000078400,0.6740000000
1,50,114,2,2615.311,0.0015400000,0.0002270000,0.0002950000,0.0070000000,0.0031000000,0.0896000000,0.0186000000,0.1670000000,0.0048500000,0.0000049800,0.7080000000
1,50,142,3,2499.222,0.0010300000,0.0001140000,0.0001380000,0.0046000000,0.0019000000,0.0832000000,0.0121000000,0.1580000000,0.0032900000,0.0000030800,0.7350000000
1,50,170,4,2388.742,0.0006790000,0.0000556000,0.0000629000,0.0029700000,0.0011500000,0.0774000000,0.0077100000,0.1500000000,0.0021900000,0.0000018600,0.7580000000
1,100,86,1,2764.703,0.0019600000,0.0003200000,0.0004470000,0.0089700000,0.0043400000,0.0978000000,0.0247000000,0.1790000000,0.0067200000,0.0000096800,0.6750000000
1,100,114,2,2636.229,0.0013100000,0.0001610000,0.0002100000,0.0059000000,0.0026600000,0.0903000000,0.0161000000,0.1700000000,0.0046000000,0.0000060200,0.7090000000
1,100,142,3,2514.247,0.0008630000,0.0000787000,0.0000958000,0.0038100000,0.0016000000,0.0836000000,0.0103000000,0.1600000000,0.0030800000,0.0000036500,0.7360000000
1,100,170,4,2399.151,0.0005630000,0.0000376000,0.0000425000,0.0024300000,0.0009510000,0.0777000000,0.0064600000,0.1510000000,0.0020200000,0.0000021700,0.7590000000
1.3,1,86,1,2543.199,0.0100000000,0.0030300000,0.0013500000,0.0057000000,0.0068100000,0.1030000000,0.0896000000,0.1470000000,0.0036500000,0.0000005140,0.6300000000
1.3,1,114,2,2430.412,0.0083100000,0.0016800000,0.0004930000,0.0023400000,0.0036700000,0.0953000000,0.0730000000,0.1400000000,0.0019600000,0.0000001990,0.6740000000
1.3,1,142,3,2308.73,0.0073600000,0.0008870000,0.0001410000,0.0007030000,0.0017200000,0.0877000000,0.0618000000,0.1310000000,0.0008760000,0.0000000557,0.7080000000
1.3,1,170,4,2182.665,0.0069300000,0.0004720000,0.0000355000,0.0001760000,0.0007450000,0.0805000000,0.0546000000,0.1220000000,0.0003740000,0.0000000134,0.7350000000
1.3,10,86,1,2640.659,0.0085800000,0.0013200000,0.0003980000,0.0020300000,0.0040100000,0.1080000000,0.0817000000,0.1560000000,0.0025700000,0.0000005110,0.6350000000
1.3,10,114,2,2486.481,0.0075500000,0.0006510000,0.0000979000,0.0005220000,0.0017200000,0.0980000000,0.0687000000,0.1450000000,0.0010400000,0.0000001490,0.6770000000
1.3,10,142,3,2333.77,0.0070600000,0.0003060000,0.0000191000,0.0001000000,0.0006500000,0.0890000000,0.0602000000,0.1330000000,0.0003500000,0.0000000260,0.7090000000
1.3,10,170,4,2193.123,0.0068300000,0.0001420000,0.0000033600,0.0000169000,0.0002320000,0.0811000000,0.0540000000,0.1220000000,0.0001110000,0.0000000000,0.7350000000
1.3,50,86,1,2684.088,0.0080100000,0.0006770000,0.0001260000,0.0007020000,0.0023400000,0.1100000000,0.0782000000,0.1610000000,0.0016200000,0.0000004950,0.6380000000
1.3,50,114,2,2504.541,0.0073400000,0.0003110000,0.0000243000,0.0001340000,0.0008720000,0.0990000000,0.0674000000,0.1460000000,0.0005460000,0.0000000868,0.6780000000
1.3,50,142,3,2339.988,0.0070000000,0.0001410000,0.0000041400,0.0000220000,0.0003050000,0.0894000000,0.0598000000,0.1330000000,0.0001660000,0.0000000128,0.7100000000
1.3,50,170,4,2195.239,0.0068100000,0.0000640000,0.0000006930,0.0000034900,0.0001060000,0.0812000000,0.0539000000,0.1220000000,0.0000494000,0.0000000000,0.7350000000
1.3,100,86,1,2696.349,0.0078600000,0.0004970000,0.0000718000,0.0004080000,0.0017800000,0.1110000000,0.0772000000,0.1620000000,0.0012600000,0.0000004110,0.6380000000
1.3,100,114,2,2508.9,0.0072900000,0.0002230000,0.0000128000,0.0000713000,0.0006350000,0.0992000000,0.0671000000,0.1470000000,0.0004010000,0.0000000653,0.6780000000
1.3,100,142,3,2341.413,0.0069900000,0.0001000000,0.0000021100,0.0000112000,0.0002180000,0.0895000000,0.0597000000,0.1340000000,0.0001190000,0.0000000000,0.7100000000
1.3,100,170,4,2195.721,0.0068100000,0.0000454000,0.0000003490,0.0000017600,0.0000750000,0.0813000000,0.0539000000,0.1220000000,0.0000351000,0.0000000000,0.7360000000
1.5,1,86,1,2496.606,0.0153000000,0.0030700000,0.0005950000,0.0017400000,0.0045000000,0.1090000000,0.1190000000,0.1370000000,0.0018300000,0.0000001490,0.6080000000
1.5,1,114,2,2345.253,0.0138000000,0.0014400000,0.0001250000,0.0003720000,0.0017700000,0.0984000000,0.1010000000,0.1260000000,0.0006740000,0.0000000300,0.6560000000
1.5,1,142,3,2192.057,0.0131000000,0.0006610000,0.0000217000,0.0000627000,0.0006160000,0.0886000000,0.0893000000,0.1150000000,0.0002430000,0.0000000000,0.6920000000
1.5,1,170,4,2052.067,0.0127000000,0.0003590000,0.0000050600,0.0000143000,0.0002480000,0.0799000000,0.0800000000,0.1060000000,0.0001010000,0.0000000000,0.7210000000
1.5,10,86,1,2555.302,0.0145000000,0.0012200000,0.0001130000,0.0003580000,0.0020700000,0.1120000000,0.1160000000,0.1410000000,0.0009230000,0.0000001020,0.6120000000
1.5,10,114,2,2367.626,0.0136000000,0.0005010000,0.0000162000,0.0000495000,0.0006500000,0.0999000000,0.1010000000,0.1270000000,0.0002530000,0.0000000127,0.6570000000
1.5,10,142,3,2200.212,0.0130000000,0.0002040000,0.0000021200,0.0000061300,0.0001940000,0.0892000000,0.0891000000,0.1160000000,0.0000652000,0.0000000000,0.6930000000
1.5,10,170,4,2055.961,0.0127000000,0.0000844000,0.0000002830,0.0000007890,0.0000589000,0.0801000000,0.0799000000,0.1060000000,0.0000198000,0.0000000000,0.7210000000
1.5,50,86,1,2574.189,0.0143000000,0.0005840000,0.0000276000,0.0000895000,0.0010400000,0.1130000000,0.1150000000,0.1420000000,0.0004770000,0.0000000576,0.6130000000
1.5,50,114,2,2373.408,0.0135000000,0.0002300000,0.0000034700,0.0000107000,0.0003030000,0.1000000000,0.1000000000,0.1280000000,0.0001190000,0.0000000000,0.6570000000
1.5,50,142,3,2202.004,0.0130000000,0.0000920000,0.0000004340,0.0000012600,0.0000882000,0.0893000000,0.0891000000,0.1160000000,0.0000292000,0.0000000000,0.6930000000
1.5,50,170,4,2056.584,0.0127000000,0.0000377000,0.0000000565,0.0000001570,0.0000264000,0.0802000000,0.0799000000,0.1060000000,0.0000073100,0.0000000000,0.7210000000
1.5,100,86,1,2578.835,0.0143000000,0.0004210000,0.0000145000,0.0000472000,0.0007580000,0.1140000000,0.1150000000,0.1430000000,0.0003490000,0.0000000431,0.6130000000
1.5,100,114,2,2374.771,0.0135000000,0.0001640000,0.0000017600,0.0000054400,0.0002160000,0.1000000000,0.1000000000,0.1280000000,0.0000851000,0.0000000000,0.6580000000
1.5,100,142,3,2202.424,0.0130000000,0.0000652000,0.0000002180,0.0000006320,0.0000626000,0.0893000000,0.0891000000,0.1160000000,0.0000207000,0.0000000000,0.6930000000
1.5,100,170,4,2056.725,0.0127000000,0.0000267000,0.0000000283,0.0000000782,0.0000187000,0.0802000000,0.0799000000,0.1060000000,0.0000050800,0.0000000000,0.7210000000
1.7,1,86,1,2421.418,0.0221000000,0.0026300000,0.0001980000,0.0004120000,0.0025000000,0.1110000000,0.1470000000,0.1250000000,0.0007680000,0.0000000330,0.5880000000
1.7,1,114,2,2240.45,0.0207000000,0.0010500000,0.0000258000,0.0000518000,0.0007380000,0.0985000000,0.1280000000,0.1130000000,0.0002210000,0.0000000000,0.6390000000
1.7,1,142,3,2075.926,0.0198000000,0.0004670000,0.0000039700,0.0000077300,0.0002350000,0.0871000000,0.1120000000,0.1020000000,0.0000774000,0.0000000000,0.6780000000
1.7,1,170,4,1934.352,0.0192000000,0.0003070000,0.0000013000,0.0000026200,0.0001090000,0.0775000000,0.1000000000,0.0935000000,0.0000321000,0.0000000000,0.7090000000
1.7,10,86,1,2451.957,0.0219000000,0.0009490000,0.0000277000,0.0000594000,0.0009640000,0.1140000000,0.1470000000,0.1260000000,0.0003080000,0.0000000154,0.5890000000
1.7,10,114,2,2250.15,0.0206000000,0.0003380000,0.0000027500,0.0000055600,0.0002440000,0.0992000000,0.1280000000,0.1130000000,0.0000657000,0.0000000000,0.6390000000
1.7,10,142,3,2079.796,0.0198000000,0.0001230000,0.0000002760,0.0000005320,0.0000622000,0.0874000000,0.1120000000,0.1020000000,0.0000151000,0.0000000000,0.6780000000
1.7,10,170,4,1936.788,0.0192000000,0.0000466000,0.0000000302,0.0000000963,0.0000167000,0.0777000000,0.1000000000,0.0935000000,0.0000047700,0.0000000000,0.7090000000
